method,implementation,params_m,delta_params_m_vs_old,delta_params_percent_vs_old,flops_g,inference_time_ms,gpu_memory_mb
FCN + Fast FA-DCG,fast,134.3268,-10.6056,-7.32,NA,9.972,913.5
U-Net + Fast FA-DCG,fast,31.2175,-0.3607,-1.14,NA,20.512,1002.2
