method,implementation,miou_mean,miou_std,dice_mean,dice_std,params_m,inference_time_ms,gpu_memory_mb,delta_miou_vs_old,delta_dice_vs_old,delta_time_vs_old,status
FCN + Fast FA-DCG,fast,0.653098,0.010590,0.761202,0.009999,134.3268,1.277,3402.3,-0.191751,-0.146305,-30.542,faster_but_worse
U-Net + Fast FA-DCG,fast,0.881403,0.007016,0.931304,0.004265,31.2175,2.570,3290.7,-0.015260,-0.009719,-7.256,faster_but_worse
