architecture,variant,method,miou_mean,miou_std,dice_mean,dice_std,params_m,flops_g,inference_time_ms,gpu_memory_mb,delta_miou_vs_V1.1,delta_miou_vs_V2d_noMSC,delta_Dice_vs_V1.1,delta_Dice_vs_V2d_noMSC,status
fcn,v1_1,FCN + FA-DCG V1.1,0.843120,0.000000,0.906027,0.000000,144.9324,NA,1.064,2199.4,0.000000,-0.004325,0.000000,-0.002924,worse_than_nomsc
fcn,v2d_nomsc,FCN + FA-DCG V2d-noMSC,0.847445,0.000000,0.908951,0.000000,145.0614,NA,1.091,2318.0,0.004325,0.000000,0.002924,0.000000,v2d_nomsc_reference
fcn,v3_fcrg_a,FCN + FA-DCG V3-FCRG-A,0.836096,0.000000,0.901944,0.000000,153.4475,NA,1.119,2359.5,-0.007024,-0.011349,-0.004083,-0.007007,worse_than_nomsc
fcn,v3_fcrg_b,FCN + FA-DCG V3-FCRG-B,0.845357,0.000000,0.908126,0.000000,157.7131,NA,1.164,2456.5,0.002237,-0.002088,0.002099,-0.000825,worse_than_nomsc
unet,v1_1,U-Net + FA-DCG V1.1,0.892461,0.000000,0.938098,0.000000,31.5782,NA,2.569,3261.6,0.000000,-0.002728,0.000000,-0.001612,worse_than_nomsc
unet,v2d_nomsc,U-Net + FA-DCG V2d-noMSC,0.895189,0.000000,0.939710,0.000000,31.6069,NA,2.625,3373.3,0.002728,0.000000,0.001612,0.000000,v2d_nomsc_reference
unet,v3_fcrg_a,U-Net + FA-DCG V3-FCRG-A,0.888919,0.000000,0.936162,0.000000,32.1014,NA,2.635,3326.9,-0.003542,-0.006270,-0.001936,-0.003548,worse_than_nomsc
unet,v3_fcrg_b,U-Net + FA-DCG V3-FCRG-B,0.893119,0.000000,0.938102,0.000000,32.3649,NA,2.593,3328.1,0.000658,-0.002070,0.000004,-0.001608,worse_than_nomsc
