method,implementation,miou_mean,miou_std,dice_mean,dice_std,params_m,inference_time_ms,gpu_memory_mb,delta_miou_vs_old,delta_dice_vs_old,delta_time_vs_old,status
FCN + Optimized FA-DCG,optimized,0.844089,0.001967,0.906666,0.001566,144.9324,1.089,2198.9,-0.000760,-0.000841,-30.729,faster_and_comparable
U-Net + Optimized FA-DCG,optimized,0.891287,0.002425,0.937523,0.001049,31.5782,2.550,3261.3,-0.005376,-0.003501,-7.277,faster_and_comparable
