method,variant,seed,source,metric,value,notes
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,0.0026219042483717203,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.9962150454521179,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.00248533533886075,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,0.9986077547073364,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.00033844122663140297,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.4621171951293945,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.4621169567108154,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.0998062863945961,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_mean,0.49909740686416626,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_std,0.018307296559214592,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.4713277220726013,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,0.17718780040740967,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.17473749816417694,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.17674702405929565,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.648515522480011,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,large_dilation_weight,0.3514845371246338,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_beta,0.10000558197498322,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_reliability_mean,0.9499971866607666,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_reliability_std,3.880666099576047e-08,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_local_high_mean,0.0026198835112154484,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_gamma,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_mean,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_std,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,0.002620275132358074,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,1.000130295753479,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.0015004092128947377,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,0.993022084236145,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.0013326479820534587,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.4621169567108154,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.4621171951293945,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,alpha_value,0.09984797984361649,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,gate_mean,0.4990987777709961,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,gate_std,0.018306029960513115,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.4724906384944916,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,0.17546075582504272,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.17635789513587952,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.17569071054458618,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.6479513645172119,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,large_dilation_weight,0.3520486056804657,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_gamma,0.0,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_mean,0.5,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_std,0.0,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,nan,diagnostics from first deterministic test batch
