method=U-Net, seed=123, smoke=False
epoch=0, train_loss=0.464300, val_miou=0.648944, val_dice=0.742950, infer_ms=2.589
epoch=1, train_loss=0.382999, val_miou=0.688492, val_dice=0.780774, infer_ms=2.568
epoch=2, train_loss=0.358109, val_miou=0.756580, val_dice=0.845244, infer_ms=2.610
epoch=3, train_loss=0.336530, val_miou=0.698984, val_dice=0.787029, infer_ms=2.532
epoch=4, train_loss=0.316481, val_miou=0.533452, val_dice=0.582586, infer_ms=2.575
epoch=5, train_loss=0.299835, val_miou=0.613844, val_dice=0.697832, infer_ms=2.585
epoch=6, train_loss=0.312745, val_miou=0.769578, val_dice=0.862414, infer_ms=2.574
epoch=7, train_loss=0.288221, val_miou=0.784884, val_dice=0.862554, infer_ms=2.559
epoch=8, train_loss=0.282014, val_miou=0.803735, val_dice=0.883327, infer_ms=2.552
epoch=9, train_loss=0.276202, val_miou=0.811736, val_dice=0.886404, infer_ms=2.567
epoch=10, train_loss=0.259122, val_miou=0.817237, val_dice=0.889317, infer_ms=2.606
epoch=11, train_loss=0.250372, val_miou=0.718643, val_dice=0.804502, infer_ms=2.552
epoch=12, train_loss=0.241820, val_miou=0.773843, val_dice=0.854365, infer_ms=2.587
epoch=13, train_loss=0.239870, val_miou=0.786500, val_dice=0.862835, infer_ms=2.560
epoch=14, train_loss=0.225218, val_miou=0.828604, val_dice=0.895825, infer_ms=2.575
epoch=15, train_loss=0.229718, val_miou=0.846513, val_dice=0.907882, infer_ms=2.557
epoch=16, train_loss=0.224140, val_miou=0.808328, val_dice=0.882930, infer_ms=2.560
epoch=17, train_loss=0.225273, val_miou=0.799686, val_dice=0.872296, infer_ms=2.593
epoch=18, train_loss=0.221313, val_miou=0.821108, val_dice=0.888020, infer_ms=2.552
epoch=19, train_loss=0.207335, val_miou=0.844600, val_dice=0.906750, infer_ms=2.560
epoch=20, train_loss=0.208746, val_miou=0.815098, val_dice=0.885077, infer_ms=2.574
epoch=21, train_loss=0.189773, val_miou=0.867813, val_dice=0.923123, infer_ms=2.653
epoch=22, train_loss=0.197032, val_miou=0.837108, val_dice=0.902105, infer_ms=2.568
epoch=23, train_loss=0.193013, val_miou=0.845441, val_dice=0.907816, infer_ms=2.561
epoch=24, train_loss=0.182630, val_miou=0.853933, val_dice=0.916516, infer_ms=3.245
epoch=25, train_loss=0.181146, val_miou=0.802333, val_dice=0.874178, infer_ms=2.564
epoch=26, train_loss=0.171579, val_miou=0.878680, val_dice=0.928254, infer_ms=2.544
epoch=27, train_loss=0.175984, val_miou=0.862361, val_dice=0.918983, infer_ms=2.596
epoch=28, train_loss=0.159155, val_miou=0.863767, val_dice=0.918956, infer_ms=2.552
epoch=29, train_loss=0.164586, val_miou=0.863706, val_dice=0.922765, infer_ms=2.562
epoch=30, train_loss=0.155016, val_miou=0.849789, val_dice=0.910117, infer_ms=3.207
epoch=31, train_loss=0.150319, val_miou=0.865797, val_dice=0.920282, infer_ms=2.553
epoch=32, train_loss=0.160941, val_miou=0.870650, val_dice=0.924036, infer_ms=2.568
epoch=33, train_loss=0.149307, val_miou=0.871346, val_dice=0.924632, infer_ms=2.591
epoch=34, train_loss=0.142263, val_miou=0.851091, val_dice=0.910521, infer_ms=2.582
epoch=35, train_loss=0.146802, val_miou=0.875906, val_dice=0.926526, infer_ms=2.581
epoch=36, train_loss=0.140416, val_miou=0.866573, val_dice=0.921706, infer_ms=2.572
epoch=37, train_loss=0.135613, val_miou=0.868761, val_dice=0.923335, infer_ms=2.560
epoch=38, train_loss=0.140160, val_miou=0.877897, val_dice=0.929365, infer_ms=2.603
epoch=39, train_loss=0.129983, val_miou=0.878462, val_dice=0.928663, infer_ms=2.584
epoch=40, train_loss=0.135594, val_miou=0.868634, val_dice=0.922216, infer_ms=2.552
epoch=41, train_loss=0.132037, val_miou=0.884423, val_dice=0.932842, infer_ms=2.546
epoch=42, train_loss=0.134582, val_miou=0.869228, val_dice=0.922433, infer_ms=2.575
epoch=43, train_loss=0.125358, val_miou=0.879150, val_dice=0.929427, infer_ms=2.541
epoch=44, train_loss=0.126148, val_miou=0.877609, val_dice=0.928276, infer_ms=2.570
epoch=45, train_loss=0.125484, val_miou=0.877191, val_dice=0.927972, infer_ms=2.547
epoch=46, train_loss=0.122111, val_miou=0.876393, val_dice=0.927416, infer_ms=2.534
epoch=47, train_loss=0.127546, val_miou=0.877589, val_dice=0.928579, infer_ms=2.560
epoch=48, train_loss=0.123318, val_miou=0.877645, val_dice=0.928662, infer_ms=2.554
epoch=49, train_loss=0.122555, val_miou=0.877093, val_dice=0.928175, infer_ms=2.539
