method=U-Net + V2d-noBoundary-noLocalVar, variant=v2d_no_boundary_no_local_var, priority=B, seed=2027
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.367216, val_miou=0.787776, val_dice=0.822878
epoch=1, train_loss=0.326076, val_miou=0.803172, val_dice=0.833815
epoch=2, train_loss=0.292656, val_miou=0.759874, val_dice=0.795019
epoch=3, train_loss=0.289005, val_miou=0.802639, val_dice=0.826991
epoch=4, train_loss=0.264192, val_miou=0.787320, val_dice=0.823594
epoch=5, train_loss=0.255107, val_miou=0.817360, val_dice=0.847098
epoch=6, train_loss=0.230143, val_miou=0.816456, val_dice=0.847599
epoch=7, train_loss=0.218674, val_miou=0.709266, val_dice=0.761274
epoch=8, train_loss=0.202228, val_miou=0.675945, val_dice=0.735618
epoch=9, train_loss=0.197081, val_miou=0.812154, val_dice=0.840930
epoch=10, train_loss=0.210345, val_miou=0.623526, val_dice=0.693653
epoch=11, train_loss=0.192771, val_miou=0.828761, val_dice=0.857369
epoch=12, train_loss=0.183971, val_miou=0.806590, val_dice=0.841165
epoch=13, train_loss=0.176954, val_miou=0.802788, val_dice=0.837487
epoch=14, train_loss=0.166990, val_miou=0.768761, val_dice=0.810285
epoch=15, train_loss=0.153131, val_miou=0.756770, val_dice=0.803073
epoch=16, train_loss=0.143331, val_miou=0.832594, val_dice=0.863180
epoch=17, train_loss=0.159517, val_miou=0.819057, val_dice=0.851551
epoch=18, train_loss=0.149378, val_miou=0.758013, val_dice=0.803938
epoch=19, train_loss=0.142357, val_miou=0.809886, val_dice=0.844375
epoch=20, train_loss=0.141030, val_miou=0.825073, val_dice=0.857558
epoch=21, train_loss=0.143339, val_miou=0.790405, val_dice=0.830515
epoch=22, train_loss=0.131140, val_miou=0.809952, val_dice=0.846110
epoch=23, train_loss=0.141299, val_miou=0.842277, val_dice=0.869765
epoch=24, train_loss=0.156863, val_miou=0.795473, val_dice=0.834547
epoch=25, train_loss=0.127780, val_miou=0.762866, val_dice=0.809070
epoch=26, train_loss=0.128597, val_miou=0.786479, val_dice=0.825935
epoch=27, train_loss=0.121682, val_miou=0.822342, val_dice=0.856423
epoch=28, train_loss=0.122986, val_miou=0.800924, val_dice=0.838819
epoch=29, train_loss=0.127940, val_miou=0.837677, val_dice=0.867313
epoch=30, train_loss=0.121879, val_miou=0.852340, val_dice=0.879987
epoch=31, train_loss=0.120665, val_miou=0.811424, val_dice=0.848719
epoch=32, train_loss=0.114966, val_miou=0.826850, val_dice=0.860240
epoch=33, train_loss=0.113954, val_miou=0.853410, val_dice=0.881866
epoch=34, train_loss=0.116875, val_miou=0.849081, val_dice=0.878305
epoch=35, train_loss=0.107646, val_miou=0.842699, val_dice=0.872889
epoch=36, train_loss=0.110973, val_miou=0.825828, val_dice=0.859739
epoch=37, train_loss=0.113503, val_miou=0.837097, val_dice=0.867450
epoch=38, train_loss=0.112293, val_miou=0.826771, val_dice=0.860102
epoch=39, train_loss=0.107239, val_miou=0.843432, val_dice=0.873717
epoch=40, train_loss=0.108903, val_miou=0.845528, val_dice=0.875724
epoch=41, train_loss=0.105453, val_miou=0.838846, val_dice=0.870071
epoch=42, train_loss=0.104901, val_miou=0.844019, val_dice=0.874308
epoch=43, train_loss=0.101357, val_miou=0.834886, val_dice=0.867405
epoch=44, train_loss=0.108937, val_miou=0.839423, val_dice=0.870860
epoch=45, train_loss=0.105480, val_miou=0.826276, val_dice=0.860584
epoch=46, train_loss=0.102844, val_miou=0.834398, val_dice=0.867041
epoch=47, train_loss=0.104180, val_miou=0.839041, val_dice=0.870750
epoch=48, train_loss=0.103106, val_miou=0.834513, val_dice=0.867088
epoch=49, train_loss=0.100871, val_miou=0.831237, val_dice=0.864581
selected_best_epoch=33, val_miou=0.853410, val_dice=0.881866, test_miou=0.877605, test_dice=0.894177
