backbone,method,variant,seed,val_miou,val_dice,test_miou,test_dice,best_epoch,checkpoint_path,status,notes
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,123,0.8545728822453922,0.8816981230894952,0.881781361834076,0.8974746573180212,46,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarynolocalvar_seed123_best.pt,completed,"comparison variant without boundary, MSC, or local variance; seed 2026 is reused from task_009 when available"
U-Net,U-Net + V2d-noBoundary-noLocalVar,v2d_no_boundary_no_local_var,2026,0.8528583606531297,0.8802963911224455,0.8760261797274096,0.8917898697974974,31,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnoboundarynolocalvar_seed2026_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar,v2d_no_boundary_keep_msc_no_local_var,42,0.8477865971828671,0.8765582979186425,0.8708318923542895,0.8877272501957985,38,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarykeepmscnolocalvar_seed42_best.pt,completed,decoupling variant: disables boundary gate but keeps MSC descriptor and speckle gate
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar,v2d_no_boundary_keep_msc_no_local_var,123,0.8518663204464565,0.8784751074796003,0.8806766903527219,0.8960950298036013,25,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarykeepmscnolocalvar_seed123_best.pt,completed,decoupling variant: disables boundary gate but keeps MSC descriptor and speckle gate
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar,v2d_no_boundary_keep_msc_no_local_var,2026,0.8481544003906788,0.8762334498851734,0.8770443338638197,0.8927306797142253,35,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarykeepmscnolocalvar_seed2026_best.pt,completed,decoupling variant: disables boundary gate but keeps MSC descriptor and speckle gate
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar-Laplacian,v2d_no_boundary_keep_msc_no_local_var_laplacian,42,0.8300353434059864,0.8621480559435214,0.8545283384018751,0.8728659429369179,38,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarykeepmscnolocalvarlaplacian_seed42_best.pt,completed,boundary/MSC decoupling variant with Laplacian depthwise initialization
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar-Laplacian,v2d_no_boundary_keep_msc_no_local_var_laplacian,123,0.8425494953791051,0.8712927859004076,0.8692260620133672,0.8857316953981035,41,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarykeepmscnolocalvarlaplacian_seed123_best.pt,completed,boundary/MSC decoupling variant with Laplacian depthwise initialization
U-Net,U-Net + V2d-noBoundaryKeepMSC-noLocalVar-Laplacian,v2d_no_boundary_keep_msc_no_local_var_laplacian,2026,0.8489539978703109,0.8752717892260595,0.8708446662584841,0.8860509082640555,27,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnoboundarykeepmscnolocalvarlaplacian_seed2026_best.pt,completed,boundary/MSC decoupling variant with Laplacian depthwise initialization
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,42,0.8511093226517414,0.8791821348408905,0.8764233195049529,0.8925197645614075,38,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnolocalvar_seed42_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,123,0.8504045453200001,0.8777328275791998,0.8785341105621918,0.8940973408591031,46,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnolocalvar_seed123_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + V2d-noLocalVar,v2d_no_local_var,2026,0.856994432514852,0.883677547491759,0.8797525907754005,0.8951849339080222,31,/home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/checkpoints/unet_v2dnolocalvar_seed2026_best.pt,reused,reused from task_009: /home/superws/2026_Projects/FA_DCG/exp/task_009_fadc_srfg_hybrid/20260526_081709/raw_metrics_per_seed.csv
U-Net,U-Net + V2d-noLocalVar-Laplacian,v2d_no_local_var_laplacian,42,0.8304193658823723,0.8617720959393865,0.856735576278852,0.8745164043843171,38,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnolocalvarlaplacian_seed42_best.pt,completed,best task_009 V2d-noLocalVar with L1-normalized 4-neighbor Laplacian depthwise initialization
U-Net,U-Net + V2d-noLocalVar-Laplacian,v2d_no_local_var_laplacian,123,0.8419400383322895,0.8711506724830154,0.8744316671499628,0.8908229422358639,30,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnolocalvarlaplacian_seed123_best.pt,completed,best task_009 V2d-noLocalVar with L1-normalized 4-neighbor Laplacian depthwise initialization
U-Net,U-Net + V2d-noLocalVar-Laplacian,v2d_no_local_var_laplacian,2026,0.8488624463722747,0.8757746108121793,0.8734196332617485,0.8889843425748208,27,/home/superws/2026_Projects/FA_DCG/exp/task_010_v2d_nolocalvar_targeted/20260526_171742/checkpoints/unet_v2dnolocalvarlaplacian_seed2026_best.pt,completed,best task_009 V2d-noLocalVar with L1-normalized 4-neighbor Laplacian depthwise initialization
