architecture=fcn, variant=v2d_nomsc, seed=42
epoch=0, train_loss=0.523356, val_miou=0.576830, val_dice=0.688438, infer_ms=2.593
epoch=1, train_loss=0.429947, val_miou=0.681977, val_dice=0.772050, infer_ms=1.171
epoch=2, train_loss=0.386026, val_miou=0.738814, val_dice=0.832839, infer_ms=1.213
epoch=3, train_loss=0.375194, val_miou=0.758250, val_dice=0.853251, infer_ms=1.199
epoch=4, train_loss=0.363837, val_miou=0.697254, val_dice=0.794877, infer_ms=1.180
epoch=5, train_loss=0.350246, val_miou=0.615134, val_dice=0.700663, infer_ms=1.273
epoch=6, train_loss=0.327143, val_miou=0.742822, val_dice=0.831207, infer_ms=1.152
epoch=7, train_loss=0.326855, val_miou=0.751259, val_dice=0.839397, infer_ms=1.217
epoch=8, train_loss=0.315015, val_miou=0.739896, val_dice=0.828489, infer_ms=1.220
epoch=9, train_loss=0.310768, val_miou=0.607451, val_dice=0.688779, infer_ms=1.099
epoch=10, train_loss=0.299778, val_miou=0.769942, val_dice=0.850790, infer_ms=1.176
epoch=11, train_loss=0.289558, val_miou=0.787022, val_dice=0.866645, infer_ms=1.180
epoch=12, train_loss=0.289760, val_miou=0.750332, val_dice=0.850791, infer_ms=1.265
epoch=13, train_loss=0.289202, val_miou=0.720481, val_dice=0.810675, infer_ms=1.209
epoch=14, train_loss=0.273475, val_miou=0.788890, val_dice=0.868666, infer_ms=1.163
epoch=15, train_loss=0.276645, val_miou=0.794542, val_dice=0.873217, infer_ms=1.137
epoch=16, train_loss=0.262150, val_miou=0.744885, val_dice=0.832095, infer_ms=1.185
epoch=17, train_loss=0.254166, val_miou=0.798601, val_dice=0.873672, infer_ms=1.171
epoch=18, train_loss=0.259871, val_miou=0.781029, val_dice=0.862671, infer_ms=1.302
epoch=19, train_loss=0.243778, val_miou=0.798069, val_dice=0.875427, infer_ms=1.144
epoch=20, train_loss=0.238478, val_miou=0.789681, val_dice=0.870309, infer_ms=1.241
epoch=21, train_loss=0.242297, val_miou=0.786747, val_dice=0.864507, infer_ms=1.189
epoch=22, train_loss=0.242945, val_miou=0.806916, val_dice=0.885661, infer_ms=1.159
epoch=23, train_loss=0.241696, val_miou=0.804476, val_dice=0.881300, infer_ms=1.258
epoch=24, train_loss=0.225518, val_miou=0.811390, val_dice=0.882394, infer_ms=1.143
epoch=25, train_loss=0.241287, val_miou=0.757623, val_dice=0.843489, infer_ms=1.181
epoch=26, train_loss=0.225678, val_miou=0.777236, val_dice=0.863333, infer_ms=1.155
epoch=27, train_loss=0.221176, val_miou=0.793173, val_dice=0.868324, infer_ms=1.252
epoch=28, train_loss=0.216707, val_miou=0.815696, val_dice=0.891720, infer_ms=1.182
epoch=29, train_loss=0.205445, val_miou=0.817213, val_dice=0.888133, infer_ms=1.219
epoch=30, train_loss=0.206276, val_miou=0.827249, val_dice=0.893703, infer_ms=1.187
epoch=31, train_loss=0.200783, val_miou=0.819012, val_dice=0.889565, infer_ms=1.129
epoch=32, train_loss=0.197503, val_miou=0.824822, val_dice=0.893414, infer_ms=1.203
epoch=33, train_loss=0.197421, val_miou=0.829104, val_dice=0.897543, infer_ms=1.095
epoch=34, train_loss=0.189485, val_miou=0.827566, val_dice=0.895990, infer_ms=1.177
epoch=35, train_loss=0.192558, val_miou=0.832234, val_dice=0.899869, infer_ms=1.138
epoch=36, train_loss=0.188659, val_miou=0.830686, val_dice=0.897324, infer_ms=1.098
epoch=37, train_loss=0.183654, val_miou=0.833062, val_dice=0.900954, infer_ms=1.164
epoch=38, train_loss=0.182283, val_miou=0.828732, val_dice=0.895104, infer_ms=1.116
epoch=39, train_loss=0.182332, val_miou=0.837346, val_dice=0.901979, infer_ms=1.081
epoch=40, train_loss=0.182401, val_miou=0.827732, val_dice=0.894658, infer_ms=1.079
epoch=41, train_loss=0.182778, val_miou=0.829674, val_dice=0.896830, infer_ms=1.119
epoch=42, train_loss=0.182027, val_miou=0.837202, val_dice=0.902152, infer_ms=1.128
epoch=43, train_loss=0.177826, val_miou=0.835720, val_dice=0.900860, infer_ms=1.174
epoch=44, train_loss=0.177993, val_miou=0.834209, val_dice=0.899568, infer_ms=1.157
epoch=45, train_loss=0.177189, val_miou=0.835106, val_dice=0.900221, infer_ms=1.191
epoch=46, train_loss=0.174250, val_miou=0.837998, val_dice=0.903297, infer_ms=1.244
epoch=47, train_loss=0.175097, val_miou=0.837425, val_dice=0.901948, infer_ms=1.233
epoch=48, train_loss=0.173747, val_miou=0.839554, val_dice=0.903794, infer_ms=1.232
epoch=49, train_loss=0.173054, val_miou=0.838090, val_dice=0.902971, infer_ms=1.199
