method,implementation,seed,miou,dice,params_m,flops_g,inference_time_ms,gpu_memory_mb,best_epoch,notes
FCN + FA-DCG V2a,v2a,2024,0.847235,0.909229,145.0154,NA,1.075,2253.9,49,validation split used; SAR Frequency-Gated V1.1
U-Net + FA-DCG V2a,v2a,2024,0.888433,0.935235,31.5966,NA,2.618,3318.9,38,validation split used; SAR Frequency-Gated V1.1
