method,implementation,params_m,delta_params_m_vs_v1_1,delta_params_percent_vs_v1_1,flops_g,benchmark_inference_time_ms,gpu_memory_mb
FCN + FA-DCG V2a,v2a,145.0154,0.0830,0.06,NA,8.585,939.4
U-Net + FA-DCG V2a,v2a,31.5966,0.0184,0.06,NA,20.494,1003.6
