method,implementation,miou_mean,miou_std,dice_mean,dice_std,params_m,inference_time_ms,gpu_memory_mb,delta_miou_vs_v1_1,delta_dice_vs_v1_1,delta_time_vs_v1_1,status
FCN + FA-DCG V2a,v2a,0.847235,0.000000,0.909229,0.000000,145.0154,1.075,2253.9,0.004431,0.003376,-7.242,v2a_better
U-Net + FA-DCG V2a,v2a,0.888433,0.000000,0.935235,0.000000,31.5966,2.618,3318.9,-0.004028,-0.002863,-17.732,v2a_comparable
