method=FCN + V2d-noBoundary-noLocalVar, variant=no_boundary_no_local_var, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.406132, val_miou=0.750354, val_dice=0.774389
epoch=1, train_loss=0.341299, val_miou=0.761987, val_dice=0.788616
epoch=2, train_loss=0.343159, val_miou=0.744304, val_dice=0.782092
epoch=3, train_loss=0.333545, val_miou=0.744767, val_dice=0.765067
epoch=4, train_loss=0.304385, val_miou=0.739603, val_dice=0.760262
epoch=5, train_loss=0.298891, val_miou=0.770673, val_dice=0.797227
epoch=6, train_loss=0.267325, val_miou=0.749826, val_dice=0.769353
epoch=7, train_loss=0.269548, val_miou=0.762988, val_dice=0.797903
epoch=8, train_loss=0.249290, val_miou=0.777235, val_dice=0.807168
epoch=9, train_loss=0.247931, val_miou=0.765054, val_dice=0.799628
epoch=10, train_loss=0.242737, val_miou=0.786631, val_dice=0.815464
epoch=11, train_loss=0.245453, val_miou=0.780825, val_dice=0.807369
epoch=12, train_loss=0.239731, val_miou=0.774408, val_dice=0.805081
epoch=13, train_loss=0.219354, val_miou=0.773464, val_dice=0.806531
epoch=14, train_loss=0.222582, val_miou=0.656217, val_dice=0.712237
epoch=15, train_loss=0.220728, val_miou=0.764268, val_dice=0.790288
epoch=16, train_loss=0.206738, val_miou=0.767732, val_dice=0.799140
epoch=17, train_loss=0.222776, val_miou=0.734590, val_dice=0.774988
epoch=18, train_loss=0.203337, val_miou=0.751920, val_dice=0.792403
epoch=19, train_loss=0.196021, val_miou=0.775404, val_dice=0.804829
epoch=20, train_loss=0.194892, val_miou=0.789326, val_dice=0.818857
epoch=21, train_loss=0.195717, val_miou=0.792458, val_dice=0.825141
epoch=22, train_loss=0.186369, val_miou=0.763235, val_dice=0.801072
epoch=23, train_loss=0.186465, val_miou=0.773178, val_dice=0.810709
epoch=24, train_loss=0.179076, val_miou=0.803394, val_dice=0.832442
epoch=25, train_loss=0.182548, val_miou=0.801006, val_dice=0.832503
epoch=26, train_loss=0.178259, val_miou=0.804865, val_dice=0.832754
epoch=27, train_loss=0.170934, val_miou=0.796574, val_dice=0.828187
epoch=28, train_loss=0.168503, val_miou=0.798171, val_dice=0.827501
epoch=29, train_loss=0.172212, val_miou=0.811016, val_dice=0.840439
epoch=30, train_loss=0.174860, val_miou=0.740367, val_dice=0.784648
epoch=31, train_loss=0.172019, val_miou=0.807246, val_dice=0.837422
epoch=32, train_loss=0.162901, val_miou=0.809086, val_dice=0.839689
epoch=33, train_loss=0.156872, val_miou=0.794050, val_dice=0.828108
epoch=34, train_loss=0.159273, val_miou=0.811608, val_dice=0.840458
epoch=35, train_loss=0.157396, val_miou=0.811877, val_dice=0.841080
epoch=36, train_loss=0.154603, val_miou=0.810985, val_dice=0.839731
epoch=37, train_loss=0.154177, val_miou=0.805446, val_dice=0.837710
epoch=38, train_loss=0.154881, val_miou=0.816282, val_dice=0.843593
epoch=39, train_loss=0.151711, val_miou=0.811235, val_dice=0.839815
epoch=40, train_loss=0.151090, val_miou=0.816054, val_dice=0.845491
epoch=41, train_loss=0.154013, val_miou=0.810542, val_dice=0.840785
epoch=42, train_loss=0.148696, val_miou=0.815158, val_dice=0.845075
epoch=43, train_loss=0.153276, val_miou=0.814183, val_dice=0.843906
epoch=44, train_loss=0.147230, val_miou=0.817795, val_dice=0.846901
epoch=45, train_loss=0.152448, val_miou=0.816184, val_dice=0.845785
epoch=46, train_loss=0.146777, val_miou=0.815003, val_dice=0.845928
epoch=47, train_loss=0.147570, val_miou=0.814926, val_dice=0.844805
epoch=48, train_loss=0.147594, val_miou=0.815720, val_dice=0.846233
epoch=49, train_loss=0.148949, val_miou=0.812935, val_dice=0.843761
selected_best_epoch=44, val_miou=0.817795, val_dice=0.846901, test_miou=0.819768, test_dice=0.834294
