method=FCN + V2d-noBoundary-noLocalVar, variant=no_boundary_no_local_var, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.387023, val_miou=0.641155, val_dice=0.624263
epoch=1, train_loss=0.366873, val_miou=0.754439, val_dice=0.781991
epoch=2, train_loss=0.322105, val_miou=0.766682, val_dice=0.798375
epoch=3, train_loss=0.317414, val_miou=0.747473, val_dice=0.767807
epoch=4, train_loss=0.315470, val_miou=0.752891, val_dice=0.782358
epoch=5, train_loss=0.289687, val_miou=0.752352, val_dice=0.777816
epoch=6, train_loss=0.268057, val_miou=0.585943, val_dice=0.654596
epoch=7, train_loss=0.274814, val_miou=0.703491, val_dice=0.742778
epoch=8, train_loss=0.251435, val_miou=0.781705, val_dice=0.811959
epoch=9, train_loss=0.246387, val_miou=0.750380, val_dice=0.769579
epoch=10, train_loss=0.230490, val_miou=0.762622, val_dice=0.796069
epoch=11, train_loss=0.245797, val_miou=0.777548, val_dice=0.803410
epoch=12, train_loss=0.228103, val_miou=0.675055, val_dice=0.728458
epoch=13, train_loss=0.229318, val_miou=0.656960, val_dice=0.711325
epoch=14, train_loss=0.216979, val_miou=0.772345, val_dice=0.803573
epoch=15, train_loss=0.217048, val_miou=0.782152, val_dice=0.813690
epoch=16, train_loss=0.206159, val_miou=0.751607, val_dice=0.787961
epoch=17, train_loss=0.211355, val_miou=0.733676, val_dice=0.770836
epoch=18, train_loss=0.196929, val_miou=0.727990, val_dice=0.764215
epoch=19, train_loss=0.203147, val_miou=0.787821, val_dice=0.812722
epoch=20, train_loss=0.192508, val_miou=0.795894, val_dice=0.825925
epoch=21, train_loss=0.205687, val_miou=0.793457, val_dice=0.821598
epoch=22, train_loss=0.189119, val_miou=0.790279, val_dice=0.822208
epoch=23, train_loss=0.187578, val_miou=0.802037, val_dice=0.832341
epoch=24, train_loss=0.177376, val_miou=0.791474, val_dice=0.822000
epoch=25, train_loss=0.178338, val_miou=0.791827, val_dice=0.821356
epoch=26, train_loss=0.179209, val_miou=0.807708, val_dice=0.837195
epoch=27, train_loss=0.180037, val_miou=0.807739, val_dice=0.838691
epoch=28, train_loss=0.166670, val_miou=0.780576, val_dice=0.816605
epoch=29, train_loss=0.171609, val_miou=0.802493, val_dice=0.832751
epoch=30, train_loss=0.174815, val_miou=0.787171, val_dice=0.820854
epoch=31, train_loss=0.170505, val_miou=0.804559, val_dice=0.834586
epoch=32, train_loss=0.165614, val_miou=0.801985, val_dice=0.832448
epoch=33, train_loss=0.164364, val_miou=0.805409, val_dice=0.836361
epoch=34, train_loss=0.159885, val_miou=0.799085, val_dice=0.831326
epoch=35, train_loss=0.159971, val_miou=0.805274, val_dice=0.837309
epoch=36, train_loss=0.157155, val_miou=0.802386, val_dice=0.835132
epoch=37, train_loss=0.162382, val_miou=0.798789, val_dice=0.830669
epoch=38, train_loss=0.157965, val_miou=0.806576, val_dice=0.840026
epoch=39, train_loss=0.156703, val_miou=0.802114, val_dice=0.834457
epoch=40, train_loss=0.151509, val_miou=0.810009, val_dice=0.840914
epoch=41, train_loss=0.151510, val_miou=0.813003, val_dice=0.843195
epoch=42, train_loss=0.152167, val_miou=0.797548, val_dice=0.830940
epoch=43, train_loss=0.149208, val_miou=0.812554, val_dice=0.842961
epoch=44, train_loss=0.149628, val_miou=0.810427, val_dice=0.841002
epoch=45, train_loss=0.149789, val_miou=0.810382, val_dice=0.841634
epoch=46, train_loss=0.147205, val_miou=0.812725, val_dice=0.843180
epoch=47, train_loss=0.149033, val_miou=0.808318, val_dice=0.839968
epoch=48, train_loss=0.148650, val_miou=0.811267, val_dice=0.841883
epoch=49, train_loss=0.146365, val_miou=0.810399, val_dice=0.841501
selected_best_epoch=41, val_miou=0.813003, val_dice=0.843195, test_miou=0.817876, test_dice=0.833110
