method=FCN + V2d-noBoundary-noLocalVar, variant=no_boundary_no_local_var, seed=2028
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.417626, val_miou=0.752008, val_dice=0.782787
epoch=1, train_loss=0.351990, val_miou=0.745484, val_dice=0.766907
epoch=2, train_loss=0.338234, val_miou=0.755923, val_dice=0.778480
epoch=3, train_loss=0.313796, val_miou=0.764715, val_dice=0.793710
epoch=4, train_loss=0.307030, val_miou=0.760671, val_dice=0.788914
epoch=5, train_loss=0.280696, val_miou=0.640399, val_dice=0.689347
epoch=6, train_loss=0.292604, val_miou=0.750939, val_dice=0.783298
epoch=7, train_loss=0.263797, val_miou=0.724390, val_dice=0.762179
epoch=8, train_loss=0.257586, val_miou=0.710877, val_dice=0.751661
epoch=9, train_loss=0.254563, val_miou=0.753174, val_dice=0.790522
epoch=10, train_loss=0.231653, val_miou=0.767656, val_dice=0.795657
epoch=11, train_loss=0.243794, val_miou=0.752729, val_dice=0.784139
epoch=12, train_loss=0.231303, val_miou=0.786214, val_dice=0.817225
epoch=13, train_loss=0.218356, val_miou=0.759426, val_dice=0.793683
epoch=14, train_loss=0.216279, val_miou=0.764855, val_dice=0.796622
epoch=15, train_loss=0.209319, val_miou=0.728679, val_dice=0.767190
epoch=16, train_loss=0.206592, val_miou=0.776229, val_dice=0.810468
epoch=17, train_loss=0.217442, val_miou=0.784937, val_dice=0.816724
epoch=18, train_loss=0.200052, val_miou=0.804100, val_dice=0.833087
epoch=19, train_loss=0.209618, val_miou=0.748877, val_dice=0.788511
epoch=20, train_loss=0.197759, val_miou=0.751774, val_dice=0.787673
epoch=21, train_loss=0.188020, val_miou=0.779123, val_dice=0.814516
epoch=22, train_loss=0.187117, val_miou=0.805990, val_dice=0.835798
epoch=23, train_loss=0.186764, val_miou=0.782323, val_dice=0.810739
epoch=24, train_loss=0.189556, val_miou=0.780545, val_dice=0.815872
epoch=25, train_loss=0.176174, val_miou=0.802367, val_dice=0.834084
epoch=26, train_loss=0.169694, val_miou=0.799836, val_dice=0.830175
epoch=27, train_loss=0.170638, val_miou=0.790313, val_dice=0.824902
epoch=28, train_loss=0.183062, val_miou=0.794308, val_dice=0.829177
epoch=29, train_loss=0.173277, val_miou=0.807128, val_dice=0.838520
epoch=30, train_loss=0.171241, val_miou=0.813985, val_dice=0.843388
epoch=31, train_loss=0.174107, val_miou=0.820075, val_dice=0.848999
epoch=32, train_loss=0.170863, val_miou=0.806275, val_dice=0.838740
epoch=33, train_loss=0.161729, val_miou=0.805409, val_dice=0.836207
epoch=34, train_loss=0.156335, val_miou=0.803740, val_dice=0.835494
epoch=35, train_loss=0.165541, val_miou=0.805867, val_dice=0.836600
epoch=36, train_loss=0.164366, val_miou=0.802313, val_dice=0.835452
epoch=37, train_loss=0.157028, val_miou=0.807428, val_dice=0.839349
epoch=38, train_loss=0.156140, val_miou=0.803674, val_dice=0.836136
epoch=39, train_loss=0.158648, val_miou=0.808702, val_dice=0.839403
epoch=40, train_loss=0.153242, val_miou=0.806771, val_dice=0.837752
epoch=41, train_loss=0.154845, val_miou=0.804470, val_dice=0.836666
epoch=42, train_loss=0.153188, val_miou=0.807061, val_dice=0.838067
epoch=43, train_loss=0.150779, val_miou=0.810394, val_dice=0.840689
epoch=44, train_loss=0.149062, val_miou=0.810694, val_dice=0.842050
epoch=45, train_loss=0.153327, val_miou=0.810918, val_dice=0.841107
epoch=46, train_loss=0.152375, val_miou=0.808241, val_dice=0.839842
epoch=47, train_loss=0.150887, val_miou=0.810053, val_dice=0.841187
epoch=48, train_loss=0.148164, val_miou=0.814459, val_dice=0.844577
epoch=49, train_loss=0.163108, val_miou=0.819619, val_dice=0.847751
selected_best_epoch=31, val_miou=0.820075, val_dice=0.848999, test_miou=0.822568, test_dice=0.838063
