method=FCN + V2d-noBoundary-noLocalVar, variant=no_boundary_no_local_var, seed=123
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.390412, val_miou=0.704685, val_dice=0.711760
epoch=1, train_loss=0.354828, val_miou=0.737116, val_dice=0.755111
epoch=2, train_loss=0.336760, val_miou=0.720849, val_dice=0.733457
epoch=3, train_loss=0.347447, val_miou=0.764046, val_dice=0.787563
epoch=4, train_loss=0.301647, val_miou=0.751676, val_dice=0.774083
epoch=5, train_loss=0.299049, val_miou=0.772442, val_dice=0.800908
epoch=6, train_loss=0.288243, val_miou=0.763532, val_dice=0.785828
epoch=7, train_loss=0.270013, val_miou=0.765751, val_dice=0.788992
epoch=8, train_loss=0.261083, val_miou=0.746628, val_dice=0.778258
epoch=9, train_loss=0.249915, val_miou=0.737799, val_dice=0.757464
epoch=10, train_loss=0.243511, val_miou=0.782005, val_dice=0.811132
epoch=11, train_loss=0.242100, val_miou=0.708092, val_dice=0.752925
epoch=12, train_loss=0.233159, val_miou=0.747989, val_dice=0.783050
epoch=13, train_loss=0.230984, val_miou=0.784960, val_dice=0.813574
epoch=14, train_loss=0.227222, val_miou=0.790512, val_dice=0.817935
epoch=15, train_loss=0.211012, val_miou=0.777302, val_dice=0.804186
epoch=16, train_loss=0.208807, val_miou=0.782018, val_dice=0.813653
epoch=17, train_loss=0.202368, val_miou=0.794643, val_dice=0.826265
epoch=18, train_loss=0.199353, val_miou=0.775945, val_dice=0.811129
epoch=19, train_loss=0.198547, val_miou=0.798117, val_dice=0.826163
epoch=20, train_loss=0.189849, val_miou=0.796748, val_dice=0.829497
epoch=21, train_loss=0.190509, val_miou=0.790409, val_dice=0.820932
epoch=22, train_loss=0.196316, val_miou=0.781188, val_dice=0.812305
epoch=23, train_loss=0.177976, val_miou=0.797854, val_dice=0.828113
epoch=24, train_loss=0.181090, val_miou=0.796962, val_dice=0.828762
epoch=25, train_loss=0.171314, val_miou=0.789712, val_dice=0.821564
epoch=26, train_loss=0.172667, val_miou=0.787041, val_dice=0.818816
epoch=27, train_loss=0.178383, val_miou=0.804715, val_dice=0.836948
epoch=28, train_loss=0.168744, val_miou=0.808136, val_dice=0.839073
epoch=29, train_loss=0.167543, val_miou=0.797068, val_dice=0.828841
epoch=30, train_loss=0.169356, val_miou=0.810487, val_dice=0.838044
epoch=31, train_loss=0.171036, val_miou=0.810377, val_dice=0.840632
epoch=32, train_loss=0.162463, val_miou=0.804897, val_dice=0.837187
epoch=33, train_loss=0.160140, val_miou=0.811996, val_dice=0.843903
epoch=34, train_loss=0.160014, val_miou=0.806493, val_dice=0.838341
epoch=35, train_loss=0.156619, val_miou=0.808577, val_dice=0.837911
epoch=36, train_loss=0.158460, val_miou=0.808769, val_dice=0.839490
epoch=37, train_loss=0.159383, val_miou=0.813467, val_dice=0.843812
epoch=38, train_loss=0.156097, val_miou=0.820655, val_dice=0.849677
epoch=39, train_loss=0.149654, val_miou=0.822926, val_dice=0.851861
epoch=40, train_loss=0.152266, val_miou=0.816268, val_dice=0.846065
epoch=41, train_loss=0.150755, val_miou=0.818352, val_dice=0.847549
epoch=42, train_loss=0.154685, val_miou=0.810759, val_dice=0.842308
epoch=43, train_loss=0.147191, val_miou=0.817905, val_dice=0.847458
epoch=44, train_loss=0.147974, val_miou=0.820228, val_dice=0.849722
epoch=45, train_loss=0.148255, val_miou=0.816359, val_dice=0.846814
epoch=46, train_loss=0.150735, val_miou=0.819660, val_dice=0.848909
epoch=47, train_loss=0.148220, val_miou=0.815293, val_dice=0.845569
epoch=48, train_loss=0.146384, val_miou=0.816401, val_dice=0.846542
epoch=49, train_loss=0.149098, val_miou=0.816766, val_dice=0.846822
selected_best_epoch=39, val_miou=0.822926, val_dice=0.851861, test_miou=0.822367, test_dice=0.837575
