architecture,variant,method,miou_mean,miou_std,dice_mean,dice_std,params_m,inference_time_ms,gpu_memory_mb,delta_miou_vs_full_v2d,delta_dice_vs_full_v2d,delta_params_vs_full_v2d,status
fcn,no_msc,FCN + V2d no_msc,0.841316,0.007982,0.905402,0.005631,145.0614,1.171,2319.6,0.000000,0.000000,0.0000,equivalent_to_full
unet,no_msc,U-Net + V2d no_msc,0.890907,0.003664,0.937191,0.002258,31.6069,2.535,3374.7,0.000000,0.000000,0.0000,equivalent_to_full
