method,implementation,miou_mean,miou_std,dice_mean,dice_std,params_m,inference_time_ms,gpu_memory_mb,delta_miou_vs_old,delta_dice_vs_old,delta_time_vs_old,status
FCN + Optimized FA-DCG,optimized,0.842804,0.000000,0.905853,0.000000,144.9324,1.075,2200.4,-0.002045,-0.001654,-30.744,faster_and_comparable
U-Net + Optimized FA-DCG,optimized,0.892461,0.000000,0.938098,0.000000,31.5782,2.522,3263.2,-0.004202,-0.002925,-7.304,faster_and_comparable
