method,seed,miou,dice,params_m,flops_g,inference_time_ms,gpu_memory_mb,best_epoch,notes
FCN + Optimized FA-DCG,2024,0.842804,0.905853,144.9324,NA,1.075,2200.4,42,validation split used; no independent test split present
U-Net + Optimized FA-DCG,2024,0.892461,0.938098,31.5782,NA,2.522,3263.2,33,validation split used; no independent test split present
