method,implementation,params_m,delta_params_m_vs_v1_1,delta_params_percent_vs_v1_1,flops_g,benchmark_inference_time_ms,gpu_memory_mb
FCN + FADC,fadc_aligned,134.3209,-10.6115,-7.32,NA,10.673,911.9
U-Net + FADC,fadc_aligned,31.0913,-0.4869,-1.54,NA,23.828,1002.9
