method,implementation,seed,miou,dice,params_m,flops_g,inference_time_ms,gpu_memory_mb,best_epoch,notes
FCN + FADC,fadc_aligned,2024,0.663577,0.771850,134.3209,NA,1.448,3505.5,38,validation split used; local PyTorch FADC-aligned implementation
U-Net + FADC,fadc_aligned,2024,0.887575,0.934839,31.0913,NA,3.008,3766.0,49,validation split used; local PyTorch FADC-aligned implementation
