method=FCN + FA-DCG V1.1, variant=v1_1, seed=2026
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.402726, val_miou=0.652300, val_dice=0.636485
epoch=1, train_loss=0.361581, val_miou=0.737524, val_dice=0.773905
epoch=2, train_loss=0.329277, val_miou=0.769417, val_dice=0.799891
epoch=3, train_loss=0.315506, val_miou=0.721075, val_dice=0.759910
epoch=4, train_loss=0.315587, val_miou=0.739761, val_dice=0.759265
epoch=5, train_loss=0.286945, val_miou=0.769532, val_dice=0.798909
epoch=6, train_loss=0.261068, val_miou=0.710812, val_dice=0.756283
epoch=7, train_loss=0.286419, val_miou=0.695571, val_dice=0.729418
epoch=8, train_loss=0.254745, val_miou=0.783110, val_dice=0.810524
epoch=9, train_loss=0.263154, val_miou=0.783488, val_dice=0.812477
epoch=10, train_loss=0.236389, val_miou=0.731484, val_dice=0.773604
epoch=11, train_loss=0.253352, val_miou=0.787474, val_dice=0.816360
epoch=12, train_loss=0.235031, val_miou=0.685286, val_dice=0.736667
epoch=13, train_loss=0.231163, val_miou=0.646555, val_dice=0.701865
epoch=14, train_loss=0.217593, val_miou=0.791360, val_dice=0.822389
epoch=15, train_loss=0.211795, val_miou=0.786689, val_dice=0.819793
epoch=16, train_loss=0.208652, val_miou=0.778611, val_dice=0.807506
epoch=17, train_loss=0.211397, val_miou=0.749151, val_dice=0.782451
epoch=18, train_loss=0.198687, val_miou=0.772772, val_dice=0.802350
epoch=19, train_loss=0.202429, val_miou=0.789165, val_dice=0.814955
epoch=20, train_loss=0.192137, val_miou=0.791500, val_dice=0.822636
epoch=21, train_loss=0.192532, val_miou=0.776884, val_dice=0.807598
epoch=22, train_loss=0.185831, val_miou=0.802831, val_dice=0.834184
epoch=23, train_loss=0.186654, val_miou=0.804374, val_dice=0.835550
epoch=24, train_loss=0.183129, val_miou=0.788353, val_dice=0.820707
epoch=25, train_loss=0.179806, val_miou=0.791214, val_dice=0.821929
epoch=26, train_loss=0.183221, val_miou=0.805935, val_dice=0.835585
epoch=27, train_loss=0.178842, val_miou=0.812639, val_dice=0.844373
epoch=28, train_loss=0.166014, val_miou=0.779390, val_dice=0.815929
epoch=29, train_loss=0.171345, val_miou=0.793312, val_dice=0.825825
epoch=30, train_loss=0.171251, val_miou=0.790877, val_dice=0.823689
epoch=31, train_loss=0.175339, val_miou=0.811216, val_dice=0.841199
epoch=32, train_loss=0.165909, val_miou=0.787520, val_dice=0.821571
epoch=33, train_loss=0.164025, val_miou=0.797481, val_dice=0.828420
epoch=34, train_loss=0.161955, val_miou=0.767906, val_dice=0.806364
epoch=35, train_loss=0.158470, val_miou=0.816979, val_dice=0.846174
epoch=36, train_loss=0.157075, val_miou=0.792365, val_dice=0.827217
epoch=37, train_loss=0.162597, val_miou=0.795102, val_dice=0.827779
epoch=38, train_loss=0.156359, val_miou=0.799349, val_dice=0.834117
epoch=39, train_loss=0.155886, val_miou=0.798116, val_dice=0.830194
epoch=40, train_loss=0.152717, val_miou=0.810314, val_dice=0.840216
epoch=41, train_loss=0.153775, val_miou=0.805829, val_dice=0.836759
epoch=42, train_loss=0.149579, val_miou=0.788332, val_dice=0.823114
epoch=43, train_loss=0.151678, val_miou=0.811377, val_dice=0.842009
epoch=44, train_loss=0.150860, val_miou=0.812864, val_dice=0.842703
epoch=45, train_loss=0.149466, val_miou=0.806936, val_dice=0.838548
epoch=46, train_loss=0.147710, val_miou=0.812080, val_dice=0.842302
epoch=47, train_loss=0.150686, val_miou=0.805378, val_dice=0.837114
epoch=48, train_loss=0.148908, val_miou=0.808343, val_dice=0.839281
epoch=49, train_loss=0.147001, val_miou=0.808353, val_dice=0.839365
selected_best_epoch=35, val_miou=0.816979, val_dice=0.846174, test_miou=0.821146, test_dice=0.836399
