method=U-Net + FA-DCG V2d, seed=42
epoch=0, train_loss=0.468219, val_miou=0.685423, val_dice=0.811270, infer_ms=2.973
epoch=1, train_loss=0.396112, val_miou=0.761516, val_dice=0.849561, infer_ms=2.569
epoch=2, train_loss=0.360615, val_miou=0.794030, val_dice=0.871371, infer_ms=2.536
epoch=3, train_loss=0.334990, val_miou=0.781096, val_dice=0.867072, infer_ms=2.570
epoch=4, train_loss=0.335035, val_miou=0.796279, val_dice=0.872890, infer_ms=2.545
epoch=5, train_loss=0.318515, val_miou=0.748431, val_dice=0.839400, infer_ms=2.549
epoch=6, train_loss=0.299870, val_miou=0.784362, val_dice=0.872129, infer_ms=2.531
epoch=7, train_loss=0.284858, val_miou=0.799554, val_dice=0.881615, infer_ms=2.526
epoch=8, train_loss=0.276194, val_miou=0.746320, val_dice=0.831509, infer_ms=2.565
epoch=9, train_loss=0.265541, val_miou=0.805549, val_dice=0.882400, infer_ms=2.596
epoch=10, train_loss=0.262289, val_miou=0.800399, val_dice=0.878645, infer_ms=2.763
epoch=11, train_loss=0.247641, val_miou=0.822954, val_dice=0.892850, infer_ms=2.559
epoch=12, train_loss=0.238738, val_miou=0.805926, val_dice=0.883954, infer_ms=2.729
epoch=13, train_loss=0.248150, val_miou=0.695143, val_dice=0.778372, infer_ms=3.335
epoch=14, train_loss=0.241204, val_miou=0.841172, val_dice=0.905888, infer_ms=2.719
epoch=15, train_loss=0.226925, val_miou=0.842242, val_dice=0.905611, infer_ms=2.534
epoch=16, train_loss=0.217849, val_miou=0.805649, val_dice=0.880211, infer_ms=2.528
epoch=17, train_loss=0.207718, val_miou=0.856541, val_dice=0.915493, infer_ms=2.548
epoch=18, train_loss=0.201095, val_miou=0.819535, val_dice=0.896151, infer_ms=2.540
epoch=19, train_loss=0.201992, val_miou=0.835444, val_dice=0.900972, infer_ms=2.592
epoch=20, train_loss=0.194071, val_miou=0.843343, val_dice=0.907748, infer_ms=2.661
epoch=21, train_loss=0.189813, val_miou=0.808403, val_dice=0.881335, infer_ms=2.661
epoch=22, train_loss=0.183145, val_miou=0.846438, val_dice=0.910167, infer_ms=2.646
epoch=23, train_loss=0.190524, val_miou=0.841624, val_dice=0.904549, infer_ms=2.648
epoch=24, train_loss=0.170882, val_miou=0.863118, val_dice=0.919707, infer_ms=2.668
epoch=25, train_loss=0.176289, val_miou=0.750192, val_dice=0.834234, infer_ms=2.631
epoch=26, train_loss=0.168354, val_miou=0.839097, val_dice=0.905012, infer_ms=2.661
epoch=27, train_loss=0.166422, val_miou=0.853123, val_dice=0.912697, infer_ms=2.634
epoch=28, train_loss=0.158425, val_miou=0.861056, val_dice=0.918796, infer_ms=2.619
epoch=29, train_loss=0.150991, val_miou=0.873232, val_dice=0.925447, infer_ms=2.581
epoch=30, train_loss=0.139664, val_miou=0.850317, val_dice=0.910687, infer_ms=2.617
epoch=31, train_loss=0.146884, val_miou=0.862000, val_dice=0.918167, infer_ms=2.614
epoch=32, train_loss=0.140031, val_miou=0.880324, val_dice=0.930370, infer_ms=2.600
epoch=33, train_loss=0.138666, val_miou=0.878210, val_dice=0.928319, infer_ms=3.261
epoch=34, train_loss=0.127787, val_miou=0.872175, val_dice=0.924907, infer_ms=2.594
epoch=35, train_loss=0.133536, val_miou=0.867829, val_dice=0.922181, infer_ms=2.593
epoch=36, train_loss=0.131616, val_miou=0.876542, val_dice=0.929034, infer_ms=2.629
epoch=37, train_loss=0.126388, val_miou=0.885457, val_dice=0.934086, infer_ms=2.603
epoch=38, train_loss=0.122612, val_miou=0.880106, val_dice=0.930470, infer_ms=2.604
epoch=39, train_loss=0.127083, val_miou=0.875721, val_dice=0.927381, infer_ms=2.611
epoch=40, train_loss=0.119975, val_miou=0.872928, val_dice=0.925054, infer_ms=2.631
epoch=41, train_loss=0.123086, val_miou=0.873043, val_dice=0.925664, infer_ms=2.650
epoch=42, train_loss=0.120259, val_miou=0.876171, val_dice=0.927984, infer_ms=2.688
epoch=43, train_loss=0.117000, val_miou=0.877650, val_dice=0.928666, infer_ms=2.662
epoch=44, train_loss=0.113533, val_miou=0.875676, val_dice=0.927058, infer_ms=2.663
epoch=45, train_loss=0.115518, val_miou=0.875358, val_dice=0.926980, infer_ms=2.653
epoch=46, train_loss=0.113422, val_miou=0.879147, val_dice=0.929839, infer_ms=2.661
epoch=47, train_loss=0.114918, val_miou=0.877173, val_dice=0.928506, infer_ms=2.678
epoch=48, train_loss=0.112469, val_miou=0.876494, val_dice=0.927818, infer_ms=2.683
epoch=49, train_loss=0.113283, val_miou=0.876399, val_dice=0.927921, infer_ms=2.648
