backbone,method,variant,params_abs,params_delta_vs_fcn,macs_abs,macs_delta_vs_fcn,flops_unit,flops_tool,latency_ms_mean,latency_ms_std,fps,device,gpu_name,input_shape,notes
FCN,FCN,baseline,134271937,0,20518027264,0,MACs,thop,2.790444,0.176637,358.365889,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
FCN,FCN + Residual-only,residual_only,136402371,2130434,20174340096,-343687168,MACs,thop,1.596377,0.058230,626.418478,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
FCN,FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,144973893,10701956,20186698240,-331329024,MACs,thop,2.113892,0.345105,473.061148,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
