backbone,method,variant,num_seeds,val_miou_mean,val_miou_std,test_miou_mean,test_miou_std,test_dice_mean,test_dice_std,params_abs,params_delta_vs_fcn,macs_abs,latency_ms_mean,fps,notes
FCN,FCN + Residual-only,residual_only,6,0.815685,0.004105,0.816176,0.003552,0.830794,0.003842,136402371,2130434,20174340096,1.596377,626.418478,task_012 residual-control summary
FCN,FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,6,0.818801,0.003296,0.821592,0.002399,0.836882,0.002716,144973893,10701956,20186698240,2.113892,473.061148,task_012 residual-control summary
