method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,depthwise_weight_mean,-0.0014190992806106806,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,0,FADCGV2dAblation,depthwise_weight_std,1.0007188320159912,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,speckle_gate_mean,0.017965789884328842,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,speckle_gate_std,0.00015735109627712518,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,suppression_ratio,0.9982197880744934,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,combined_gate_mean,0.9982197880744934,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,combined_gate_std,1.5591778719681315e-05,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,local_high_descriptor_mean,0.31807684898376465,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,local_variance_proxy_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,multi_scale_consistency_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,alpha_value,0.5101404190063477,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,beta_value,0.09908860176801682,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,channel_gate_mean,0.4814116656780243,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,channel_gate_std,0.295794814825058,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,freq_init,random,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,depthwise_weight_mean,-0.014537602663040161,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,42,first_test_batch,1,FADCGV2dAblation,depthwise_weight_std,1.0059818029403687,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,speckle_gate_mean,0.018039800226688385,module input diagnostics collected with forward pre-hooks
