method=FCN + SE, backbone=FCN, module_type=SE, seed=42
protocol=256x256, batch=8, epochs=50, Adam, lr=0.0001, cosine_min_lr=1e-06
epoch=0, train_loss=0.684941, val_miou=0.427397, val_dice=0.484946
epoch=1, train_loss=0.623685, val_miou=0.392916, val_dice=0.363178
epoch=2, train_loss=0.611670, val_miou=0.460038, val_dice=0.640189
epoch=3, train_loss=0.598484, val_miou=0.482848, val_dice=0.559926
epoch=4, train_loss=0.597326, val_miou=0.428723, val_dice=0.456122
epoch=5, train_loss=0.591513, val_miou=0.383617, val_dice=0.334130
epoch=6, train_loss=0.585117, val_miou=0.540986, val_dice=0.669537
epoch=7, train_loss=0.569227, val_miou=0.560974, val_dice=0.656867
epoch=8, train_loss=0.549667, val_miou=0.552724, val_dice=0.636101
epoch=9, train_loss=0.543891, val_miou=0.564454, val_dice=0.663649
epoch=10, train_loss=0.540016, val_miou=0.479140, val_dice=0.514312
epoch=11, train_loss=0.522945, val_miou=0.565503, val_dice=0.654368
epoch=12, train_loss=0.512203, val_miou=0.600569, val_dice=0.701834
epoch=13, train_loss=0.518979, val_miou=0.608097, val_dice=0.744632
epoch=14, train_loss=0.502668, val_miou=0.594915, val_dice=0.704555
epoch=15, train_loss=0.506794, val_miou=0.594069, val_dice=0.688825
epoch=16, train_loss=0.501627, val_miou=0.589083, val_dice=0.730285
epoch=17, train_loss=0.496272, val_miou=0.577892, val_dice=0.665407
epoch=18, train_loss=0.495513, val_miou=0.594349, val_dice=0.689520
epoch=19, train_loss=0.484285, val_miou=0.597052, val_dice=0.691636
epoch=20, train_loss=0.493640, val_miou=0.520859, val_dice=0.573752
epoch=21, train_loss=0.487452, val_miou=0.619977, val_dice=0.725011
epoch=22, train_loss=0.486661, val_miou=0.587012, val_dice=0.669603
epoch=23, train_loss=0.487854, val_miou=0.611043, val_dice=0.708685
epoch=24, train_loss=0.473352, val_miou=0.612506, val_dice=0.710953
epoch=25, train_loss=0.481412, val_miou=0.601959, val_dice=0.700286
epoch=26, train_loss=0.469196, val_miou=0.623863, val_dice=0.732337
epoch=27, train_loss=0.468925, val_miou=0.613073, val_dice=0.712040
epoch=28, train_loss=0.468096, val_miou=0.612238, val_dice=0.713706
epoch=29, train_loss=0.470451, val_miou=0.629687, val_dice=0.732503
epoch=30, train_loss=0.461941, val_miou=0.630075, val_dice=0.738089
epoch=31, train_loss=0.461264, val_miou=0.629517, val_dice=0.732859
epoch=32, train_loss=0.459857, val_miou=0.635531, val_dice=0.739423
epoch=33, train_loss=0.458702, val_miou=0.630787, val_dice=0.731102
epoch=34, train_loss=0.454074, val_miou=0.614841, val_dice=0.710402
epoch=35, train_loss=0.454738, val_miou=0.636437, val_dice=0.740811
epoch=36, train_loss=0.454612, val_miou=0.631148, val_dice=0.733427
epoch=37, train_loss=0.453933, val_miou=0.624657, val_dice=0.723286
epoch=38, train_loss=0.451933, val_miou=0.642644, val_dice=0.745814
epoch=39, train_loss=0.451164, val_miou=0.639902, val_dice=0.742394
epoch=40, train_loss=0.452804, val_miou=0.631077, val_dice=0.732324
epoch=41, train_loss=0.451230, val_miou=0.631899, val_dice=0.733264
epoch=42, train_loss=0.450067, val_miou=0.636393, val_dice=0.739112
epoch=43, train_loss=0.448181, val_miou=0.620936, val_dice=0.719347
epoch=44, train_loss=0.450079, val_miou=0.627845, val_dice=0.727397
epoch=45, train_loss=0.449050, val_miou=0.629407, val_dice=0.728813
epoch=46, train_loss=0.446297, val_miou=0.632791, val_dice=0.732940
epoch=47, train_loss=0.447916, val_miou=0.630322, val_dice=0.730440
epoch=48, train_loss=0.447221, val_miou=0.627440, val_dice=0.727351
epoch=49, train_loss=0.447795, val_miou=0.629694, val_dice=0.730209
