method,variant,seed,source,metric,value,notes
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,0.250261127948761,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-noVar,fadc_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.22781245410442352,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.5423763394355774,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,2.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,4.653482506000728e-07,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,0.6111992597579956,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.2197957038879395,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.26257890462875366,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_mean,0.6005522012710571,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_std,0.21276763081550598,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,6.825394693876774e-10,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,7.312043193152817e-10,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,1.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,6.528748652812055e-10,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,small_dilation_weight,1.4137437887029591e-09,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,large_dilation_weight,1.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_beta,0.0941489189863205,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_reliability_mean,0.9536566138267517,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_reliability_std,0.0011855866760015488,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_local_high_mean,0.15998592972755432,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,sr_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_gamma,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_mean,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_std,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,0.16182827949523926,diagnostics from first deterministic test batch
U-Net + FADC-SR-high + SARSpatial-noVar,fadc_sr_high_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.08590127527713776,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.394208163022995,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,2.0,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,1.5214516224659747e-07,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.010680913925171,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.277768611907959,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,alpha_value,0.23746825754642487,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,gate_mean,0.4593183398246765,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,gate_std,0.3078269064426422,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,1.0,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,1.5315344548127996e-09,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,1.4007912607638673e-09,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,1.1439550418046451e-09,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,small_dilation_weight,1.0,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,large_dilation_weight,2.54474619154621e-09,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_gamma,0.0,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_mean,0.5,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_std,0.0,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-CBAM-SpatialOnly,fadc_cbam_spatial_only,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.13675598800182343,diagnostics from first deterministic test batch
