architecture,variant,seed,module_index,alpha_value,response_gate_mean,response_gate_std,lambda_value,base_response_gate_mean,base_response_gate_std,frequency_modulation_mean,frequency_modulation_std,final_response_gate_mean,final_response_gate_std,local_high_gap_mean,local_var_gap_mean,v1_response_gate_mean,v1_response_gate_std,v2d_boundary_gate_mean,v2d_speckle_gate_mean,v2d_combined_gate_mean,v2d_channel_gate_mean
fcn,v3_fcrg_a,123,0,0.4712401032447815,0.44242891669273376,0.29394179582595825,NA,NA,NA,NA,NA,NA,NA,0.33949515223503113,0.9999924898147583,NA,NA,NA,NA,NA,NA
fcn,v3_fcrg_a,123,1,0.49075087904930115,0.491760790348053,0.24098458886146545,NA,NA,NA,NA,NA,NA,NA,0.33537065982818604,0.9999948740005493,NA,NA,NA,NA,NA,NA
