method,implementation,seed,miou,dice,params_m,flops_g,inference_time_ms,gpu_memory_mb,best_epoch,notes
FCN + FA-DCG V2d,v2d,2024,0.845975,0.908181,145.1444,NA,1.225,2345.9,49,validation split used; Speckle-Robust Frequency Gate
U-Net + FA-DCG V2d,v2d,2024,0.893472,0.938617,31.6253,NA,2.645,3399.8,33,validation split used; Speckle-Robust Frequency Gate
