backbone,method,module_type,num_seeds,miou_mean,miou_std,dice_mean,dice_std,params_abs,params_delta_vs_backbone,flops_abs,flops_delta_vs_backbone,latency_ms_mean,fps,notes
FCN,FCN,baseline,1,0.457598,0.000000,0.000000,0.000000,134271937,0,20518027264,0,2.754760,363.008094,mean/std over completed task_008 seeds
FCN,FCN + SRFG,SRFG,1,0.451323,0.000000,0.008773,0.000000,145061445,10789508,20192006656,-326020608,1.921963,520.301378,mean/std over completed task_008 seeds
U-Net,U-Net,baseline,1,0.213726,0.000000,0.206598,0.000000,31042369,0,54662266880,0,2.965863,337.170046,mean/std over completed task_008 seeds
U-Net,U-Net + SRFG,SRFG,1,0.208325,0.000000,0.204663,0.000000,31606851,564482,54670918656,8651776,2.975595,336.067295,mean/std over completed task_008 seeds
