backbone,method,variant,num_seeds,val_miou_mean,val_miou_std,test_miou_mean,test_miou_std,test_dice_mean,test_dice_std,params_abs,params_delta_vs_backbone,macs_abs,latency_ms_mean,fps,notes
FCN,FCN + FA-DCG V1.1,v1_1,6,0.818648,0.002216,0.822606,0.003572,0.837416,0.004145,144932419,10660482,20183159296,1.371750,728.995998,fresh task_013 train/val/test V1.1 summary
U-Net,U-Net + FA-DCG V1.1,v1_1,6,0.851538,0.003343,0.876912,0.002701,0.892939,0.002310,31578178,535809,54663054336,2.693438,371.272662,fresh task_013 train/val/test V1.1 summary
