backbone,method,variant,params_abs,params_delta_vs_backbone,macs_abs,macs_delta_vs_backbone,flops_unit,flops_tool,latency_ms_mean,latency_ms_std,fps,device,gpu_name,input_shape,notes
FCN,FCN,baseline,134271937,0,20518027264,0,MACs,thop,2.773887,0.170520,360.504982,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
FCN,FCN + FA-DCG V1.1,v1_1,144932419,10660482,20183159296,-334867968,MACs,thop,1.846534,0.053897,541.555099,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net,baseline,31042369,0,54662266880,0,MACs,thop,2.753779,0.181939,363.137355,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + FA-DCG V1.1,v1_1,31578178,535809,54663054336,787456,MACs,thop,2.773101,0.178540,360.607167,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",THOP MACs; one multiply-add counted as one MAC
