backbone,method,module_type,params_abs,params_delta_vs_backbone,flops_abs,flops_delta_vs_backbone,flops_unit,flops_tool,latency_ms_mean,latency_ms_std,fps,device,gpu_name,input_shape,notes
FCN,FCN,baseline,134271937,0,20518027264,0,MACs,thop,3.011379,0.054760,332.073779,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC
U-Net,U-Net + SRFG,SRFG,31606851,NA,54670918656,NA,MACs,thop,2.951522,0.030587,338.808248,cuda,NVIDIA GeForce RTX 4090,"[1,1,256,256]",FLOPs are THOP MACs; one multiply-add counted as one MAC; baseline not included in selected subset
