method,implementation,params_m,delta_params_m_vs_v1_1,delta_params_percent_vs_v1_1,flops_g,benchmark_inference_time_ms,gpu_memory_mb
FCN + FA-DCG V2c,v2c,145.0154,0.0830,0.06,NA,8.524,939.4
U-Net + FA-DCG V2c,v2c,31.8010,0.2228,0.71,NA,21.453,1004.4
